Accesion No.,Book Title,Author,Rack No.,Classification,Condition,Copy,Source,Corrections
1,Harsha Charita,Bana,R-4-F,G,NA,OC,MAIN,
5,Kiratarjuniya Canto 1 To 18,Mallinatha,R-3-E,F1,D,OC,MAIN,
8,Kadambari,Bana,R-9-C,G,G,OC,MAIN,
10,Dasakumara Charitham,Hase A G,R-9-D,G,G,OC,MAIN,
15,Campu Ramayana,Bhoja,R-0-Z,H,NA,OC,MAIN,
18,Kadambari Introduction And Notes By Peterson,Bana,R-0-Z,G,NA,OC,MAIN,
24,Ratnavalli - Text Only,Sri Harsha,R-9-C,I,G,OC,MAIN,
26,Vishwa Guna Darshana Champu - BG.Yogi,Venkatadhvari,R-9-E,H,G,OC,MAIN,
27,Abhijana Sakuntalam,N.S. Ed,R-7-E,I,D,OC,MAIN,
50,Chandraloka,C S R Sastry,R-3-B,J,G,OC,MAIN,
53,Nataka Kathasangraha,Ananta Chari V,R-9-D,G,G,OC,MAIN,
54,Neelakanta Vijaya Champu,Nilakanta Dikshitar,R-9-D,H,G,OC,MAIN,
57,Kiratarjuniya,Bharani,R-3-B,F1,G,OC,MAIN,
58,Kiratarjuniya,Bharavi,R-5-D,F1,G,OC,MAIN,
60,Vasavadatta,Subandha,R-9-D,G,D,OC,MAIN,
66,Kalidasa's Meghaduta,K B Pathak,R-14-C,F2,G,OC,MAIN,
68,Subhashita Trisati,Bhartrihari,R-13-A,F2,D,OC,MAIN,
75,Dramas of Bhasa,Ed. Trivandrum,R-3-D,I,D,OC,MAIN,
77,Siddhanta Kaumudi Uttarardha,Chandrasekhara Sastrigal,R-0-Z,B6,NA,OC,MAIN,
78,Siddhanta Kaumudi,Sastri C S,R-0-Z,B6,NA,OC,MAIN,
79,Prataparudriya,S R Sastri,R-13-C,J,D,OC,MAIN,
85,Valmiki Ramayana,Sri Anna,R-8-A,D1,G,OC,MAIN,
86,Bhasa,A S P Ayyar,R-4-F,I,TBR,OC,MAIN,
88,Champu Ramayanam,Bhoja,R-0-Z,H,NA,OC,MAIN,
89,Ratnavalli,Sri Harsha,R-9-C,I,G,OC,MAIN,
93,Stotra Ratnavali - Vol II,,R-0-Z,F2,NA,OC,MAIN,
127,Dipika Sarvasvam,Kurunguri Srirama Sastri,R-2-A,C2,G,OC,MAIN,
129,Tarka Sangraha,Annambhatta,R-2-A,C2,TBR,OC,MAIN,
134,Hymns From Rigveda,Macdonall,R-1-A,A1,G,OC,MAIN,
136,The Age of Kalidasa,Aurobindo,R-9-B,M1,D,OC,MAIN,
137,Malavikagnimitram,C S R Sastry,R-9-B,I,D,OC,MAIN,
141,Sakuntalam,Vani Vilas,R-3-E,I,D,OC,MAIN,
143,Yadavabhyudaya Cantos I-IV,Ed. J R B Gopalacharya,R-4-E,F1,G,OC,MAIN,
4942,Language   -  Its Nature  Its Development And Origin,Jesperson,R-4-F,L,G,OC,MAIN,
5274,Upanishad Bhashya Part II,Sankaracharya,R-0-Z,C6,NA,OC,MAIN,
8478,The Mahabarata - Analysis And Index,Edward P Price,R-8-D,D2,G,OC,MAIN,
10764,Vedic Reader,A A MacDonell,R-7-E,A1,TBR,OC,MAIN,
10765,On Vedic Reader Sayanas Commentry Pasupathinath Sastry,Macdonall,R-7-E,A1,NA,OC,MAIN,
10855,Vedic Grammar Part II  -  Beginning From Syntax,A A Macdonall,R-15-C,B6,D,OC,MAIN,
10862,Introduction To Medivial History of Languages,Tucker,R-0-Z,L,NA,OC,MAIN,
11253,Kavyamimamsa,Ed. Dalal,R-14-D,J,G,OC,MAIN,
11359,Kavyalankara Vritti,,R-13-B,J,D,OC,MAIN,
11360,Kavyalankara Vritti,,R-9-E,J,D,OC,MAIN,
11375,History of Literature  Tamil,PSS Shastry,R-4-F,K,G,OC,MAIN,
11394,Vijayaharasiromani,Narayana,R-0-Z,Z,NA,OC,MAIN,
11756,Sisupalavadha Canto II,Venkatrama Sastri R S,R-3-B,F1,D,OC,MAIN,
11757,Sisupalavadha Canto II,Magha,R-0-Z,F1,NA,OC,MAIN,
11929,A History of Indian Literature,Winternitz,R-14-A,K,G,OC,MAIN,
12095,Kiratarjuniyam,M R Kale,R-14-D,F1,D,OC,MAIN,
12096,Veni Samhara,M R Kale,R-0-Z,I,NA,OC,MAIN,
12097,Kadambari,Kale,R-0-Z,G,NA,OC,MAIN,
12101,Mudra Rakshasa,Visakadatta,R-9-A,I,G,OC,MAIN,
12103,Pratima Nataka,Oriental Book Agency,R-3-D,I,D,OC,MAIN,
12106,Mrchakatika of Sudraka,Jauaji (P),R-9-A,I,G,OC,MAIN,
12201,Kavyamala Part VIII,Pandid Durgaprasad And Kashinath Panduranng Parab,R-14-E,R,G,OC,MAIN,
12203,Kavyamala Part XIII,Pandid Durgaprasad And Kashinath Panduranng Parab,R-0-Z,R,NA,OC,MAIN,
12205,Bhatti Kavya,Ed. NS Press  Jayamangala,R-14-E,F1,G,OC,MAIN,
12206,Champu Bharata,N.S. Ed,R-9-D,H,D,OC,MAIN,
12290,Sakuntala - Devadhar,Kalidasa,R-0-Z,I,NA,OC,MAIN,
12293,Vikramorvasiyam - Nirnaya Sagar,Kalidasa,R-9-B,I,G,OC,MAIN,
12294,Sisupalavadha I-IV,Bhandare T R,R-14-D,F1,G,OC,MAIN,
12296,Veni Samhara -Kale,Batta Narayana,R-9-B,I,G,OC,MAIN,
12297,Ratnavalli,Kale,R-9-C,I,D,OC,MAIN,
12505,Drama In Sanskrit Literature,Jagirdhar,R-0-Z,I,NA,OC,MAIN,
12619,The Sacred Books of The Hindus,Vasu,R-0-Z,A6,NA,OC,MAIN,
12715,Nitisara,Kamandaka,R-10-A,F2,G,OC,MAIN,
12716,Sriman Narayaneeyam,Narayana Bhatta,R-13-A,F2,G,OC,MAIN,
12732,Bhasa's Dramas,T S Series,R-0-Z,I,NA,OC,MAIN,
12903,Higher Sanskrit Grammar,Kale,R-0-Z,O,NA,OC,MAIN,
13390,Kavyalankara Sutra Vritti,Vamana,R-3-D,J,D,OC,MAIN,
13391,Kavyalankara Sutra,Jha,R-9-E,J,D,OC,MAIN,
13396,Yagnyavalkya Smrithi,Yagnyavalkya,R-5-E,A5,D,OC,MAIN,
13398,Kalidasa Raghuvamsa,Velankar,R-14-E,F1,G,OC,MAIN,
13399,Lowkika Nyayanjali - Part I,Jacob G A,R-5-A,M,G,OC,MAIN,
