Acc No,Title,Author,Publication,Language,Subject,Rack,Condition,Status,Acc/Rcvd Date,Register,Register SN,Comments,Corrections
1,Harsha Charita,Bana,,,G,R17,NA,O,,MAIN - Vol 1,348,,
5,Kiratarjuniya Canto 1 To 18,Mallinatha,,,F1,R5,D,O,,MAIN - Vol 1,541,,
8,Kadambari,Bana,,,G,R17,G,O,,MAIN - Vol 1,545,,
10,Dasakumara Charitham,Hase A G,,,G,R17,G,O,,MAIN - Vol 1,778,,
15,Campu Ramayana,Bhoja,,,H,R17,NA,M,,MAIN - Vol 2,2569,,
18,Kadambari Introduction And Notes By Peterson,Bana,,,G,R17,NA,M,,MAIN - Vol 2,2570,,
24,Ratnavalli - Text Only,Sri Harsha,,,I,R10,G,O,,MAIN - Vol 1,327,,
26,Vishwa Guna Darshana Champu - BG.Yogi,Venkatadhvari,,,H,R17,G,O,,MAIN - Vol 1,301,,
27,Abhijana Sakuntalam,N.S. Ed,,,I,R10,D,O,,MAIN - Vol 1,677,,
50,Chandraloka,C S R Sastry,,,J,"R11, R12",G,O,,MAIN - Vol 1,250,,
53,Nataka Kathasangraha,Ananta Chari V,,,G,R17,G,O,,MAIN - Vol 1,848,,
54,Neelakanta Vijaya Champu,Nilakanta Dikshitar,,,H,R17,G,O,,MAIN - Vol 1,311,,
57,Kiratarjuniya,Bharavi,,,F1,R5,G,O,01/08/1956,MAIN - Vol 1,13,,
58,Kiratarjuniya,Bharavi,,,F1,R5,G,O,1968-69,MAIN - Vol 1,156,,
60,Vasavadatta,Subandha,,,G,R17,D,O,,MAIN - Vol 1,777,,
66,Kalidasa's Meghaduta,K B Pathak,,,F2,R5,G,O,,MAIN - Vol 1,1028,,
68,Subhashita Trisati,Bhartrihari,,,F2,R5,D,O,,MAIN - Vol 1,1029,,
75,Dramas of Bhasa,Ed. Trivandrum,,,I,R10,D,O,,MAIN - Vol 1,547,,
77,Siddhanta Kaumudi with Balamanorama Commentary - Uttarardha,"C. Sankararamasastri, Chandrasekhara Sastrigal",,,B6,R3,D,O,1968-69,MAIN - Vol 1,152,,
78,Siddhanta Kaumudi,"Sastri, C S",,,B6,R3,NA,M,1968-69,MAIN - Vol 1,177,,
79,Prataparudriya,S R Sastri,,,J,"R11, R12",D,O,1968-69,MAIN - Vol 1,173,,
85,Valmiki Ramayana,Sri Anna,,,D1,R9,G,O,,MAIN - Vol 1,244,,
86,Bhasa,A S P Ayyar,,,I,R10,TBR,O,,MAIN - Vol 1,546,,
88,Champu Ramayanam,Bhoja,,,H,R17,NA,M,04/07/1969,MAIN - Vol 1,186,,
89,Ratnavalli,Sri Harsha,,,I,R10,G,O,,MAIN - Vol 1,352,,
93,Stotra Ratnavali - Vol II,,,,F2,R5,NA,M,,MAIN - Vol 2,2571,,
127,Dipika Sarvasvam,Kurunguri Srirama Sastri,,,C2,R2,G,O,,MAIN - Vol 1,851,,
129,Tarka Sangraha,Annambhatta,,,C2,R2,TBR,O,,MAIN - Vol 1,353,,
134,Hymns From Rigveda,"Macdonell, A A",,,A1,R1,G,O,01/08/1956,MAIN - Vol 1,47,,
136,The Age of Kalidasa,Aurobindo,,,M1,R19,D,O,01/08/1956,MAIN - Vol 1,19,,
137,Malavikagnimitram,C S R Sastry,,,I,R10,D,O,19/08/1969,MAIN - Vol 1,204,,
141,Sakuntalam,Vani Vilas,,,I,R10,D,O,,MAIN - Vol 1,676,,
143,Yadavabhyudaya Cantos I-IV,Ed. J R B Gopalacharya,,,F1,R5,G,O,,MAIN - Vol 1,537,,
4942,"Language: Its Nature, Development and Origin",Otto Jespersen,,,L,R18,G,O,23/10/1958,MAIN - Vol 1,96,,
8478,The Mahabarata - Analysis And Index,Edward P Price,,,D2,R9,G,O,,MAIN - Vol 1,1030,,
10764,Vedic Reader,"Macdonell, A A",,,A1,R1,TBR,O,,MAIN - Vol 1,351,,
10765,On Vedic Reader Sayanas Commentry Pasupathinath Sastry,"Macdonell, A A",,,A1,R1,NA,O,06/03/1957,MAIN - Vol 1,82,,
10855,Vedic Grammar Part II  -  Beginning From Syntax,"Macdonell, A A",,,B6,R3,D,O,01/08/1956,MAIN - Vol 1,51,,
10862,Introduction To Medieval History of Languages,Tucker,,,L,R18,NA,M,23/10/1958,MAIN - Vol 1,93,,
11253,Kavyamimamsa,Ed. Dalal,,,J,"R11, R12",G,O,,MAIN - Vol 1,447,,
11359,Kavyalankara Vritti,,,,J,"R11, R12",D,O,25/10/1969,MAIN - Vol 1,189,,
11360,Kavyalankara Vritti,,,,J,"R11, R12",D,O,25/10/1969,MAIN - Vol 1,188,,
11375,History of Literature  Tamil,PSS Shastry,,,K,R17,G,O,,MAIN - Vol 1,320,,
11394,Vijayaharasiromani,Narayana,,,M,NA,NA,M,,MAIN - Vol 1,1031,,
11756,Sisupalavadha Canto II,Venkatrama Sastri R S,,,F1,R5,D,O,,MAIN - Vol 1,1027,,
11757,Sisupalavadha Canto II,Magha,,,F1,R5,NA,M,,MAIN - Vol 1,1032,,
11929,A History of Indian Literature,Winternitz,,,K,R17,G,O,,MAIN - Vol 1,431,,
12055,Drama In Sanskrit Literature,Jagirdhar,,,I,R10,NA,M,01/08/1956,MAIN - Vol 1,20,,
12093,Higher Sanskrit Grammar,M R Kale,,,O,R16,G,R,1968-69,MAIN - Vol 1,977,,
12095,Kiratarjuniyam,M R Kale,,,F1,R5,D,O,,MAIN - Vol 1,776,,
12096,Veni Samhara,"Kale, M R",,,I,R10,NA,M,,MAIN - Vol 1,266,,
12097,Kadambari,"Kale, M R",,,G,R17,NA,M,1968-69,MAIN - Vol 1,165,,
12101,Mudra Rakshasa,Visakadatta,,,I,R10,G,O,1968-69,MAIN - Vol 1,153,,
12103,Pratima Nataka,Oriental Book Agency,,,I,R10,D,O,,MAIN - Vol 1,680,,
12106,Mrchakatika of Sudraka,Jauaji (P),,,I,R10,G,O,1968-69,MAIN - Vol 1,154,,
12201,Kavyamala Part VIII,Pandid Durgaprasad And Kashinath Panduranng Parab,,,R,"R6, R16",G,O,,MAIN - Vol 1,1033,,
12203,Kavyamala Part XIII,Pandit Durgaprasad & Kashinath Panduranng Parab,,,R,"R6, R16",NA,M,,MAIN - Vol 1,1034,,
12205,Bhatti Kavya,Ed. NS Press  Jayamangala,,,F1,R5,G,O,,MAIN - Vol 1,448,,
12206,Champu Bharata,N.S. Ed,,,H,R17,D,O,,MAIN - Vol 1,675,,
